feature,coefficient,abs_coeff,intercept
DEW_C,10.614153195915868,10.614153195915868,54.40772375624818
RH_PCT,-5.420520035933599,5.420520035933599,54.40772375624818
VIS_M,-0.38369370191370566,0.38369370191370566,54.40772375624818
SLP_HPA,-0.280727406955579,0.280727406955579,54.40772375624818
DAY_OF_YEAR,0.24821178063642432,0.24821178063642432,54.40772375624818
MONTH,-0.14085767116035386,0.14085767116035386,54.40772375624818
WIND_SPEED,-0.11593085979527563,0.11593085979527563,54.40772375624818
ELEVATION,0.06739205110673731,0.06739205110673731,54.40772375624818
LONGITUDE,-0.058082532350836096,0.058082532350836096,54.40772375624818
LATITUDE,0.029341961278840277,0.029341961278840277,54.40772375624818
HOUR,-0.027622262464933222,0.027622262464933222,54.40772375624818
WIND_DIR,-0.0268946135817585,0.0268946135817585,54.40772375624818
PRECIP_MM,0.012320106153147069,0.012320106153147069,54.40772375624818
